voltage_V,E0_eV,E1_eV,E2_eV,class
0.4,0.11862730662351378,0.11906610497580195,0.12231802973721506,0
0.42000000000000004,0.11841803643621057,0.11861984329809304,0.12189477098582402,0
0.44,0.11713870004896246,0.11748978782487865,0.12042654483599942,0
0.46,0.11670243374798957,0.11726498443075485,0.12004202903587273,0
0.48,0.11577184738495215,0.11642390069190617,0.11911834389636627,0
0.5,0.11539194898509385,0.11586017498095542,0.11924134230514326,0
0.52,0.11512266814519287,0.1151456051656946,0.11872926087964507,0
0.54,0.11381851368483713,0.11482141728698209,0.11754506363335249,0
0.56,0.10858579701493945,0.11195092644812926,0.11317733349202004,0
0.58,0.09162179810138572,0.09502565772591606,0.09931968973866515,0
0.6,0.07462575214371388,0.07777559460547241,0.08223672504054806,0
0.62,0.057605181956865675,0.06088145520313981,0.06515971504869844,0
0.71,-0.01999352899437121,-0.016601824357580324,-0.012159598041020415,1
0.7211764705882353,-0.029494512906837463,-0.02598481865404979,-0.021540367899738733,1
0.7323529411764705,-0.03911988168654,-0.03590142122149501,-0.03166628060318905,1
0.7435294117647059,-0.04874769716543128,-0.04532157273136163,-0.04091975212369198,1
0.7547058823529411,-0.05831419554138583,-0.05487066556490813,-0.05058535262735907,1
0.7658823529411765,-0.06803427468896182,-0.06437171415526291,-0.060161908931158026,1
0.7770588235294118,-0.077732814071013,-0.07444432004812919,-0.07011251374522728,1
0.788235294117647,-0.08702268473989551,-0.08381684909509736,-0.07926065266092763,1
0.7994117647058824,-0.0975834111233353,-0.09384796487321806,-0.08942988887725548,1
0.8105882352941176,-0.1070657480949622,-0.10339214656685561,-0.09926284398438265,1
0.821764705882353,-0.11663509130163592,-0.11301699587855049,-0.10864832217853641,1
0.8329411764705883,-0.12621312038150342,-0.12268070875185988,-0.11840548742869797,1
0.8441176470588235,-0.13602607080699317,-0.1325318079682048,-0.12844947471758217,1
0.8552941176470589,-0.1458089840578311,-0.14197006009896768,-0.13761136297800594,1
0.8664705882352941,-0.15536325619367924,-0.15164229473091984,-0.147044150753257,1
0.8776470588235294,-0.16497484243749302,-0.1614926483022787,-0.15730683511720334,1
0.8888235294117648,-0.17477421706063442,-0.17109385642080083,-0.16668486282376807,1
0.9,-0.1841359046764828,-0.18056976063746405,-0.17616330431970967,1
